
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 103, Time: 0.785828, Systemstep: 0.00762939

Begin Step 104, Time: 0.793457, Systemstep: 0.00762939

Begin Step 105, Time: 0.801086, Systemstep: 0.00762939

Begin Step 106, Time: 0.808716, Systemstep: 0.00762939

Begin Step 107, Time: 0.816345, Systemstep: 0.00762939

Begin Step 108, Time: 0.823975, Systemstep: 0.00762939

Begin Step 109, Time: 0.831604, Systemstep: 0.00762939

Begin Step 110, Time: 0.839233, Systemstep: 0.00762939

Begin Step 111, Time: 0.846863, Systemstep: 0.00762939

Begin Step 112, Time: 0.854492, Systemstep: 0.00762939

Begin Step 113, Time: 0.862122, Systemstep: 0.00762939

Begin Step 114, Time: 0.869751, Systemstep: 0.00762939

Begin Step 115, Time: 0.87738, Systemstep: 0.00762939

Begin Step 116, Time: 0.88501, Systemstep: 0.00762939

Begin Step 117, Time: 0.892639, Systemstep: 0.00762939

Begin Step 118, Time: 0.900269, Systemstep: 0.00762939

Begin Step 119, Time: 0.907898, Systemstep: 0.00762939

Begin Step 120, Time: 0.915527, Systemstep: 0.00762939

Begin Step 121, Time: 0.923157, Systemstep: 0.00762939

Begin Step 122, Time: 0.930786, Systemstep: 0.00762939

Begin Step 123, Time: 0.938416, Systemstep: 0.00762939

Begin Step 124, Time: 0.946045, Systemstep: 0.00762939

Begin Step 125, Time: 0.953674, Systemstep: 0.00762939

Begin Step 126, Time: 0.961304, Systemstep: 0.00762939

Begin Step 127, Time: 0.968933, Systemstep: 0.00762939

Begin Step 128, Time: 0.976562, Systemstep: 0.00762939

Begin Step 129, Time: 0.984192, Systemstep: 0.00762939

Begin Step 130, Time: 0.991821, Systemstep: 0.00762939

Begin Step 131, Time: 0.999451, Systemstep: 0.00762939

Begin Step 132, Time: 1.00708, Systemstep: 0.00762939

Begin Step 133, Time: 1.01471, Systemstep: 0.00762939

Begin Step 134, Time: 1.02234, Systemstep: 0.00762939

Begin Step 135, Time: 1.02997, Systemstep: 0.00762939

Begin Step 136, Time: 1.0376, Systemstep: 0.00762939

Begin Step 137, Time: 1.04523, Systemstep: 0.00762939

Begin Step 138, Time: 1.05286, Systemstep: 0.00762939

Begin Step 139, Time: 1.06049, Systemstep: 0.00762939

Begin Step 140, Time: 1.06812, Systemstep: 0.00762939

Begin Step 141, Time: 1.07574, Systemstep: 0.00762939

Begin Step 142, Time: 1.08337, Systemstep: 0.00762939

Begin Step 143, Time: 1.091, Systemstep: 0.00762939

Begin Step 144, Time: 1.09863, Systemstep: 0.00762939

Begin Step 145, Time: 1.10626, Systemstep: 0.00762939

Begin Step 146, Time: 1.11389, Systemstep: 0.00762939

Begin Step 147, Time: 1.12152, Systemstep: 0.00762939

Begin Step 148, Time: 1.12915, Systemstep: 0.00762939

Begin Step 149, Time: 1.13678, Systemstep: 0.00762939

Begin Step 150, Time: 1.14441, Systemstep: 0.00762939

Begin Step 151, Time: 1.15204, Systemstep: 0.00762939

Begin Step 152, Time: 1.15967, Systemstep: 0.00762939

Begin Step 153, Time: 1.1673, Systemstep: 0.00762939

Begin Step 154, Time: 1.17493, Systemstep: 0.00762939

Begin Step 155, Time: 1.18256, Systemstep: 0.00762939

Begin Step 156, Time: 1.19019, Systemstep: 0.00762939

Begin Step 157, Time: 1.19781, Systemstep: 0.00762939

Begin Step 158, Time: 1.20544, Systemstep: 0.00762939

Begin Step 159, Time: 1.21307, Systemstep: 0.00762939

Begin Step 160, Time: 1.2207, Systemstep: 0.00762939

Begin Step 161, Time: 1.22833, Systemstep: 0.00762939

Begin Step 162, Time: 1.23596, Systemstep: 0.00762939

Begin Step 163, Time: 1.24359, Systemstep: 0.00762939

Begin Step 164, Time: 1.25122, Systemstep: 0.00762939

Begin Step 165, Time: 1.25885, Systemstep: 0.00762939

Begin Step 166, Time: 1.26648, Systemstep: 0.00762939

Begin Step 167, Time: 1.27411, Systemstep: 0.00762939

Begin Step 168, Time: 1.28174, Systemstep: 0.00762939

Begin Step 169, Time: 1.28937, Systemstep: 0.00762939

Begin Step 170, Time: 1.297, Systemstep: 0.00762939

Begin Step 171, Time: 1.30463, Systemstep: 0.00762939

Begin Step 172, Time: 1.31226, Systemstep: 0.00762939

Begin Step 173, Time: 1.31989, Systemstep: 0.00762939

Begin Step 174, Time: 1.32751, Systemstep: 0.00762939

Begin Step 175, Time: 1.33514, Systemstep: 0.00762939

Begin Step 176, Time: 1.34277, Systemstep: 0.00762939

Begin Step 177, Time: 1.3504, Systemstep: 0.00762939

Begin Step 178, Time: 1.35803, Systemstep: 0.00762939

Begin Step 179, Time: 1.36566, Systemstep: 0.00762939

Begin Step 180, Time: 1.37329, Systemstep: 0.00762939

Begin Step 181, Time: 1.38092, Systemstep: 0.00762939

Begin Step 182, Time: 1.38855, Systemstep: 0.00762939

Begin Step 183, Time: 1.39618, Systemstep: 0.00762939

Begin Step 184, Time: 1.40381, Systemstep: 0.00762939

Begin Step 185, Time: 1.41144, Systemstep: 0.00762939

Begin Step 186, Time: 1.41907, Systemstep: 0.00762939

Begin Step 187, Time: 1.4267, Systemstep: 0.00762939

Begin Step 188, Time: 1.43433, Systemstep: 0.00762939

Begin Step 189, Time: 1.44196, Systemstep: 0.00762939

Begin Step 190, Time: 1.44958, Systemstep: 0.00762939

Begin Step 191, Time: 1.45721, Systemstep: 0.00762939

Begin Step 192, Time: 1.46484, Systemstep: 0.00762939

Begin Step 193, Time: 1.47247, Systemstep: 0.00762939

Begin Step 194, Time: 1.4801, Systemstep: 0.00762939

Begin Step 195, Time: 1.48773, Systemstep: 0.00762939

Begin Step 196, Time: 1.49536, Systemstep: 0.00762939

Begin Step 197, Time: 1.50299, Systemstep: 0.00762939

Begin Step 198, Time: 1.51062, Systemstep: 0.00762939

Begin Step 199, Time: 1.51825, Systemstep: 0.00762939

Begin Step 200, Time: 1.52588, Systemstep: 0.00762939

Begin Step 201, Time: 1.53351, Systemstep: 0.00762939

Begin Step 202, Time: 1.54114, Systemstep: 0.00762939

Begin Step 203, Time: 1.54877, Systemstep: 0.00762939

Begin Step 204, Time: 1.5564, Systemstep: 0.00762939

Begin Step 205, Time: 1.56403, Systemstep: 0.00762939

Begin Step 206, Time: 1.57166, Systemstep: 0.00762939

Begin Step 207, Time: 1.57928, Systemstep: 0.00762939

Begin Step 208, Time: 1.58691, Systemstep: 0.00762939

Begin Step 209, Time: 1.59454, Systemstep: 0.00762939

Begin Step 210, Time: 1.60217, Systemstep: 0.00762939

Begin Step 211, Time: 1.6098, Systemstep: 0.00762939

Begin Step 212, Time: 1.61743, Systemstep: 0.00762939

Begin Step 213, Time: 1.62506, Systemstep: 0.00762939

Begin Step 214, Time: 1.63269, Systemstep: 0.00762939

Begin Step 215, Time: 1.64032, Systemstep: 0.00762939

Begin Step 216, Time: 1.64795, Systemstep: 0.00762939

Begin Step 217, Time: 1.65558, Systemstep: 0.00762939

Begin Step 218, Time: 1.66321, Systemstep: 0.00762939

Begin Step 219, Time: 1.67084, Systemstep: 0.00762939

Begin Step 220, Time: 1.67847, Systemstep: 0.00762939

Begin Step 221, Time: 1.6861, Systemstep: 0.00762939

Begin Step 222, Time: 1.69373, Systemstep: 0.00762939

Begin Step 223, Time: 1.70135, Systemstep: 0.00762939

Begin Step 224, Time: 1.70898, Systemstep: 0.00762939

Begin Step 225, Time: 1.71661, Systemstep: 0.00762939

Begin Step 226, Time: 1.72424, Systemstep: 0.00762939

Begin Step 227, Time: 1.73187, Systemstep: 0.00762939

Begin Step 228, Time: 1.7395, Systemstep: 0.00762939

Begin Step 229, Time: 1.74713, Systemstep: 0.00762939

Begin Step 230, Time: 1.75476, Systemstep: 0.00762939

Begin Step 231, Time: 1.76239, Systemstep: 0.00762939

Begin Step 232, Time: 1.77002, Systemstep: 0.00762939

Begin Step 233, Time: 1.77765, Systemstep: 0.00762939

Begin Step 234, Time: 1.78528, Systemstep: 0.00762939

Begin Step 235, Time: 1.79291, Systemstep: 0.00762939

Begin Step 236, Time: 1.80054, Systemstep: 0.00762939

Begin Step 237, Time: 1.80817, Systemstep: 0.00762939

Begin Step 238, Time: 1.8158, Systemstep: 0.00762939

Begin Step 239, Time: 1.82343, Systemstep: 0.00762939

Begin Step 240, Time: 1.83105, Systemstep: 0.00762939

Begin Step 241, Time: 1.83868, Systemstep: 0.00762939

Begin Step 242, Time: 1.84631, Systemstep: 0.00762939

Begin Step 243, Time: 1.85394, Systemstep: 0.00762939

Begin Step 244, Time: 1.86157, Systemstep: 0.00762939

Begin Step 245, Time: 1.8692, Systemstep: 0.00762939

Begin Step 246, Time: 1.87683, Systemstep: 0.00762939

Begin Step 247, Time: 1.88446, Systemstep: 0.00762939

Begin Step 248, Time: 1.89209, Systemstep: 0.00762939

Begin Step 249, Time: 1.89972, Systemstep: 0.00762939

Begin Step 250, Time: 1.90735, Systemstep: 0.00762939

Begin Step 251, Time: 1.91498, Systemstep: 0.00762939

Begin Step 252, Time: 1.92261, Systemstep: 0.00762939

Begin Step 253, Time: 1.93024, Systemstep: 0.00762939

Begin Step 254, Time: 1.93787, Systemstep: 0.00762939

Begin Step 255, Time: 1.9455, Systemstep: 0.00762939

Begin Step 256, Time: 1.95312, Systemstep: 0.00762939

Begin Step 257, Time: 1.96075, Systemstep: 0.00762939

Begin Step 258, Time: 1.96838, Systemstep: 0.00762939

Begin Step 259, Time: 1.97601, Systemstep: 0.00762939

Begin Step 260, Time: 1.98364, Systemstep: 0.00762939

Begin Step 261, Time: 1.99127, Systemstep: 0.00762939

Begin Step 262, Time: 1.9989, Systemstep: 0.00762939

Begin Step 263, Time: 2.00653, Systemstep: 0.00762939

Begin Step 264, Time: 2.01416, Systemstep: 0.00762939

Begin Step 265, Time: 2.02179, Systemstep: 0.00762939

Begin Step 266, Time: 2.02942, Systemstep: 0.00762939

Begin Step 267, Time: 2.03705, Systemstep: 0.00762939

Begin Step 268, Time: 2.04468, Systemstep: 0.00762939

Begin Step 269, Time: 2.05231, Systemstep: 0.00762939

Begin Step 270, Time: 2.05994, Systemstep: 0.00762939

Begin Step 271, Time: 2.06757, Systemstep: 0.00762939

Begin Step 272, Time: 2.0752, Systemstep: 0.00762939

Begin Step 273, Time: 2.08282, Systemstep: 0.00762939

Begin Step 274, Time: 2.09045, Systemstep: 0.00762939

Begin Step 275, Time: 2.09808, Systemstep: 0.00762939

Begin Step 276, Time: 2.10571, Systemstep: 0.00762939

Begin Step 277, Time: 2.11334, Systemstep: 0.00762939

Begin Step 278, Time: 2.12097, Systemstep: 0.00762939

Begin Step 279, Time: 2.1286, Systemstep: 0.00762939

Begin Step 280, Time: 2.13623, Systemstep: 0.00762939

